REEF-No,NAME,FORMATION,SYSTEM,SERIES,INTERVAL,LAT,LON,PALEO-LAT,PALEO-LON,REF,BIOTA MAIN,BIOTA SEC,COUNTRY,PBDB,REMARKS
3492,"Kodrab, W Holy Cross Mountains",,Jurassic,Upper Jurassic,upper Oxfordian,51.1,19.6333,42.8954,26.3354,2508,Corals,,Poland,68373,read more
3493,"Dobromierz, NW Holy Cross Mountains",,Jurassic,Upper Jurassic,lower Kimmeridgian,51,19.9,43.0915,26.2777,2508,Corals,,Poland,68383,read more
3494,"Pulau Bayur, Tembesi River Basin, Jambi",,Jurassic,Upper Jurassic,Upper Jurassic,-2.3,102.3,0.0941381,118.549,2105,Corals,,Indonesia,68463,read more
3495,"Asai River, Tembesi River Basin, Jambi",,Jurassic,Upper Jurassic,Upper Jurassic,-2.3,102.4833,0.220496,118.681,2105,Corals,,Indonesia,68479,read more
3496,"Sungaimanau, Tembesi River Basin, Jambi",,Jurassic,Upper Jurassic,Upper Jurassic,-2.1333,101.9833,-0.367115,118.934,2105,Stromatoporoids,,Indonesia,68478,read more
3497,"Mengkadai, Tembesi River Basin, Jambi",,Jurassic,Upper Jurassic,Upper Jurassic,-2.35,102.6667,0.310702,118.849,2105,Corals,,Indonesia,68480,read more
3498,"Tapaktuan, Aceh, Sumatra",Sise Limestone,Jurassic,Upper Jurassic,Upper Jurassic,3.25,97.1667,0.423069,111.755,2105,Corals,,Indonesia,68481,read more
3499,"Tapaktuan II, Aceh, Sumatra",,Jurassic,Upper Jurassic,Upper Jurassic,4.6333,96.8333,1.23146,110.584,2105,Stromatoporoids,,Indonesia,68482,read more
3500,"Jebel Bou Arhous Srhir, Atlas",,Jurassic,Lower Jurassic,upper Sinemurian,32.25,-3.75,24.8289,-3.00471,1568,Siliceous sponges,,Morocco,68511,read more
3501,"Jebel Tagount, Atlas",,Jurassic,Lower Jurassic,upper Sinemurian,32.25,-4.85,25.0107,-6.73918,1568,Siliceous sponges,,Morocco,68512,read more
3502,"Haut Oued Chouf Guemeur, Atlas",,Jurassic,Lower Jurassic,Carixian,32.3833,-4.45,26.7211,-3.9532,1569,Siliceous sponges,,Morocco,68513,read more
3503,"Draga, Kocevje area, Dinaric Platform",,Jurassic,Upper Jurassic,Oxfordian/Kimmeridgian,45.6333,14.65,31.7861,22.1041,2511,Corals,,Slovenia,68666,read more
3504,"Korinj, Ribnica area, Dinaric Platform",,Jurassic,Upper Jurassic,Oxfordian/Kimmeridgian,45.85,14.7833,31.8862,22.3554,2511,Corals,,Slovenia,68668,read more
3505,"Novo Mesto area, Dinaric Platform",,Jurassic,Upper Jurassic,Oxfordian/Kimmeridgian,45.8167,15.0167,31.7534,22.4725,416,Corals,,Slovenia,68671,read more
3506,"Postojna area, barrier reef, Dinaric Platform",,Jurassic,Upper Jurassic,Oxfordian/Kimmeridgian,45.8833,14.3167,32.1274,22.0957,416,Corals,,Slovenia,68680,read more
3507,"Trnovski gozd, Dinaric Platform",,Jurassic,Upper Jurassic,Oxfordian/Kimmeridgian,45.9167,13.9,32.3461,21.8671,416,Corals,,Slovenia,68684,read more
3508,"Slovenski vrh, Kocevje area",,Cretaceous,Lower Cretaceous,Barremian/Aptian,45.6667,14.7833,28.1616,22.4338,2511,Corals,,Slovenia,68730,read more
3509,"Slovenski vrh, Kocevje area",,Cretaceous,Lower Cretaceous,Albian,45.6667,14.7833,27.435,18.109,2511,Corals,,Slovenia,68731,read more
3510,"Lipica, Slovenian Karst",Lipica,Cretaceous,Upper Cretaceous,Santonian/Campanian,45.6667,13.8833,30.7744,16.2555,2511,Rudists,,Slovenia,68739,read more
3511,"Perbla, Zadlascica Valley",,Triassic,Upper Triassic,upper Carnian,46.2,13.7667,16.4149,19.1745,2512,Corals,,Slovenia,66930,read more
3512,"Mt. Razor area, Northern Julian Alps",Dachstein,Triassic,Upper Triassic,lower Norian,46.4167,13.8,24.5248,16.489,2511,Corals,,Slovenia,68756,read more
3513,"Parador, Sierra de Cazorla, Jaen, Andalucia",,Jurassic,Upper Jurassic,Tithonian,37.8833,-2.95,30.5831,4.76393,0,Corals,,Spain,69197,read more
3514,"Kuybyshevo, Belbek River, Crimea",,Cretaceous,Lower Cretaceous,upper Berriasian,44.65,33.8667,37.7089,39.3861,1764,Stromatoporoids,,Ukraine,68998,read more
3515,"Beshterek, Simferopol area, Crimea",,Cretaceous,Lower Cretaceous,lower Valanginian,45.0167,34.2333,37.6713,39.9471,2514,Corals,,Ukraine,69008,read more
3516,"Bairakly, Simferopol area, Crimea",,Cretaceous,Lower Cretaceous,upper Berriasian,44.85,34.2,37.9387,39.6492,2514,Corals,,Ukraine,69006,read more
3517,"Tonas River (Alekseyevka and Krasnoselovka), Crimea",,Cretaceous,Lower Cretaceous,lower Berriasian,44.9167,34.6333,38.0462,40.0238,2429,Corals,,Ukraine,69009,read more
3518,"Zdounky, Moravia",,Paleogene,Eocene,Middle Eocene,49.2333,17.3167,46.8524,13.0963,1043,Corals,,Czech Republic,69521,read more
3519,"La Grosse Romaine Island, Quebec",Romaine,Ordovician,Lower Ordovician,Arenig,50.2667,-63.8167,-29.3111,-51.8349,2516,Microbes,,Canada,66131,read more
3520,"La Hermida, Cantabria",Picos de Europa,Carboniferous,Pennsylvanian,Moscovian,43.2583,-4.6,-7.02439,10.6919,2517,Bryozoans,,Spain,66106,read more
3521,"San Sebastian, Puerto Rico",Lares,Neogene,Miocene,Early Miocene,18.3333,-66.95,18.1982,-65.5045,2518,,,United States,65590,read more
3522,"Totara area, South Island",Totara Limestone,Paleogene,Eocene,Priabonian,-45.1333,170.8333,-52.3105,-169.652,2519,Bryozoans,,New Zealand,64814,read more
3523,"Serra Sbregavitelli, Matese Massif, S Apennines",,Cretaceous,Lower Cretaceous,upper Aptian,41.45,14.3667,24.7188,18.912,2520,Rudists,,Italy,64804,read more
3524,"Goodsir Creek, Cornwallis Island, Nunavut",Barlow Inlet,Silurian,Ludlow,Ludfordian,74.8167,-93.4,2.47877,-30.4326,2521,Microbes,,Canada,64729,read more
3525,"Washington County, Missouri",Gasconde,Ordovician,Lower Ordovician,Tremadocian,37.9333,-90.7833,-23.7406,-80.6694,2522,Microbes,,United States,64584,read more
3526,Hydra,Episkopi,Permian,Lopingian,Changhsingian,37.3086,23.4228,-7.76112,26.9177,2524,Calcisponges,,Greece,64171,read more
3527,"Kruhel Wielki, Przemysl, Skole nappe",,Jurassic,Upper Jurassic,Tithonian-Berriasian,49.7667,22.7333,42.1751,28.7756,2525,Corals,,Poland,64117,read more
3528,"Sarnia Skala, Maly Kopieniec, Carpathians",,Triassic,Upper Triassic,Rhaetian,49.25,19.9333,29.365,22.8233,2525,Corals,,Poland,64089,read more
3529,"Giewont, Kobylarz, Wysoka Turnia, Carpathians",,Cretaceous,Lower Cretaceous,Barremian-Aptian,49.25,19.9333,28.6145,28.372,2525,Corals,,Poland,64107,read more
3530,"El Madrono (Laguna Colorada), Querétaro",El Abra,Cretaceous,Lower Cretaceous,upper Albian,21.3167,-99.1333,20.2921,-62.1395,2526,Rudists,,Mexico,64213,read more
3531,"Analipsis (Sourpi), Boeotia",,Cretaceous,Lower Cretaceous,lower-middle Albian,38.4167,22.8333,18.3681,20.7512,2527,Rudists,,Greece,64243,read more
3532,"Makhtesh Ramon, Negev Desert",Gevanim,Triassic,Middle Triassic,late Anisian,30.5667,34.8833,-13.8422,34.9229,2528,Non-rudist bivalves,,Israel,63940,read more
3533,Rottnest Island,Rottnest Limestone,Quarternary,Pleistocene,upper Pleistocene,-32,115.5167,-32.0335,115.499,2530,Corals,,Australia,63357,read more
3534,"Catombal, Back Creek, N.S.W.",Garra,Devonian,Lower Devonian,Lochkovian-Pragian,-32.7667,148.8167,-6.19696,175.111,2532,Stromatoporoids,,Australia,74162,read more
3535,"Yass area, Canberra, N.S.W.",Elmside,Devonian,Lower Devonian,lower Lochkovian,-34.8167,148.8833,-6.65564,176.209,2533,Stromatoporoids,,Australia,74031,read more
3536,"Benicàssim, El Molto, Maestrat Basin",Villaroya,Cretaceous,Lower Cretaceous,lower Aptian,40.0667,0.05,29.4713,10.7985,2535,Corals,,Spain,,read more
3537,"Sharyu River section, Chernyshev Ridge",,Devonian,Upper Devonian,lower Famennian,66.3333,59.3333,12.4937,9.47366,2536,Microbes,,Russia,77333,read more
3538,"Innisfail, Alberta",Leduc,Devonian,Upper Devonian,middle Frasnian,52.0667,-114.1667,-13.5142,-43.1905,2537,Stromatoporoids,,Canada,0,read more
3539,"Orangeburg County, South Carolina",Santee Limestone,Paleogene,Eocene,Lutetian,33.3333,-80.4167,33.6781,-69.2911,2539,Bryozoans,,United States,77066,read more
3540,"Sierra Plomosa, Chihuahua",Plomosa,Permian,Cisuralian,Wolfcampian-Leonardian,29.25,-105.4167,0.937565,-35.7057,2540,Tubiphytes,,Mexico,75754,read more
3541,"Lambton County Pinnacle reefs, Ontario",Guelph,Silurian,Wenlock,Wenlock,42.8,-82.3833,-24.1115,-48.1601,2542,Stromatoporoids,,Canada,,read more
3542,"Akimiski Island, Hudson Bay, Nunavut",Attawapiskat,Silurian,Llandovery,upper Telychian,53.1833,-81.25,-14.5564,-43.7886,2544,Stromatoporoids,,Canada,77338,read more
3543,"Heart Lake, Great Slave Lake, N.W.T.",Alexandra,Devonian,Upper Devonian,middle Frasnian,60.8333,-116.6167,-6.80472,-37.2942,2545,Stromatoporoids,,Canada,81120,read more
3544,Aramda Reef Member,Chaya,Quarternary,Pleistocene,upper Pleistocene,22.4167,69,22.4022,69.0026,2548,Corals,,India,80596,read more
3545,"Villafeliz, Leon, Asturia",San Emiliano,Carboniferous,Pennsylvanian,upper Bashkirian,42.95,-5.975,-8.9547,8.24597,2550,Siliceous sponges,,Spain,,read more
3546,"Digerhuvud2, Gotland",Tofta,Silurian,Wenlock,Sheinwoodian,57.9667,19.1167,-18.0932,-4.14452,2639,Corals,,Sweden,77534,read more
3547,"Gran Bajo, Santa Cruz",San Julian,Paleogene,Oligocene,Upper Oligocene,-49.5167,-68.2333,-50.7582,-60.4322,2552,Non-rudist bivalves,,Argentina,,read more
3548,"Estancia 25 de Mayo, Santa Cruz",Centinela,Paleogene,Oligocene,latest Oligocene,-50.5,-72.25,-51.7528,-64.7877,2552,Non-rudist bivalves,,Argentina,,read more
3549,"Sicakbük reef bouldes, Karaburun",Gerence,Triassic,Middle Triassic,Anisian,38.4333,26.5667,14.4685,34.434,2553,Algae,,Turkey,73846,read more
3550,"Tahta Iskele, Karaburun",Güvercinlik,Triassic,Upper Triassic,Norian,38.45,26.5833,31.942,27.5098,2553,Calcisponges,,Turkey,73849,read more
3551,"Benicàssim, El Molto, Maestrat Basin",Benassal,Cretaceous,Lower Cretaceous,upper Aptian,40.0667,0.05,29.1729,9.93934,2554,Corals,,Spain,0,read more
3552,"ENE of Xuyong, Sichuan Basin, Guizhou",Siniulan,Silurian,Llandovery,Aeronian?,28.3333,106,9.26719,127.248,2556,Microbes,,China,,read more
3553,"Longmenshan, Ganxi, Sichuan",Guanwushan,Devonian,Middle Devonian,middle-upper Givetian,32.75,104.1667,-6.80055,122.763,2557,Corals,,China,74632,read more
3554,"Bianping, Houchang, Ziyun, Guizhou",Maping,Carboniferous,Pennsylvanian,Gzhelian,25.5667,106.1,-12.0917,98.0119,2558,Corals,,China,106534,read more
3555,"Kudirka atoll structure, Vilkaviskis",,Silurian,Pridoli,Pridoli,54.75,22.8833,-14.2587,0.60904,2560,Stromatoporoids,,Lithuania,,read more
3556,"Camposilvano, Monti Lessini",Calcari Oolitici di S. Vigilio,Jurassic,Middle Jurassic,early? Aalenian,45.75,11.1333,32.6943,20.9712,2562,Corals,,Italy,66387,read more
3557,Muddy Mountains Overton locality,Moenkopi,Triassic,Lower Triassic,Spathian,36.5833,-114.5167,9.17885,-42.8884,2563,Non-rudist bivalves,,United States,72425,read more
3558,"Prayon, Vesdre area",Aisemont,Devonian,Upper Devonian,upper Frasnian,50.5833,5.65,-21.2332,5.91196,2564,Corals,,Belgium,76469,read more
3559,La Mallieue,Aisemont,Devonian,Upper Devonian,upper Frasnian,50.5667,5.3333,-21.3562,5.74019,2564,Corals,,Belgium,76514,read more
3560,"Sierra Agua Verde, Sonora",La Joya,Carboniferous,Pennsylvanian,upper Atokan,29.3667,-109.8833,-3.81525,-44.1413,2566,Stromatoporoids,,Mexico,76169,read more
3561,"Microconch reef, S of Liege",,Devonian,Upper Devonian,upper Famennian,50.5,5.5833,-18.1009,4.80296,2568,Microbes,,Belgium,,read more
3562,"Engihoul Quarry, Liege",Lives,Carboniferous,Mississippian,Holkerian,50.5833,5.4167,-8.94328,5.66227,2569,Microbes,,Belgium,76654,read more
3563,"Kirchfidisch, Burgenland",Blumau,Silurian,Ludlow,Ludlov?,47.1333,16.3333,-55.8194,74.5161,2572,"Serpulids, worms, vermetids",,Austria,76722,read more
3564,"Weiße Wand, Graz Paleozoic",Kollerkogel,Devonian,Middle Devonian,Givetian,47.3333,15.3833,-32.4451,39.3608,2572,Stromatoporoids,,Austria,76657,read more
3565,"Hohe Warte, Carnic Alps",Rauchkofel Limestone,Devonian,Lower Devonian,Lochkovian,46.6,12.8667,-50.2952,57.8639,2572,Microbes,,Austria,,read more
3567,St. Ann and St. Andrew parish,Somerset,Paleogene,Eocene,late Eocene,18.2167,-77.1,17.2047,-76.1834,2574,Corals,,Jamaica,69728,read more
3568,"Notre Dame de Beauregard, Orgon",,Cretaceous,Lower Cretaceous,Barremian,43.7833,5.0333,34.1452,15.4519,1179,Rudists,,France,69737,read more
