"sys","system","series","stage","short","bottom","mid","top","dur","stg","systemCol","seriesCol","col"
"Tr","Triassic","Upper Triassic","Rhaetian","Rha",209.51,205.435,201.36,8.15,58,"#984b99","#c9a6d0","#e5cbe4"
"J","Jurassic","Lower Jurassic","Hettangian","Het",201.36,200.41,199.46,1.9,59,"#00b0e2","#02b1ea","#22b5e9"
"J","Jurassic","Lower Jurassic","Sinemurian","Sin",199.46,196.18,192.9,6.56,60,"#00b0e2","#02b1ea","#5ebeee"
"J","Jurassic","Lower Jurassic","Pliensbachian","Plb",192.9,188.55,184.2,8.7,61,"#00b0e2","#02b1ea","#86c9f3"
"J","Jurassic","Lower Jurassic","Toarcian","Toa",184.2,179.45,174.7,9.5,62,"#00b0e2","#02b1ea","#a3d1f3"
"J","Jurassic","Middle Jurassic","Aalenian","Aal",174.7,172.8,170.9,3.8,63,"#00b0e2","#84cfee","#a2d8f0"
"J","Jurassic","Middle Jurassic","Bajocian","Baj",170.9,169.535,168.17,2.73,64,"#00b0e2","#84cfee","#b0dff1"
"J","Jurassic","Middle Jurassic","Bathonian","Bat",168.17,166.73,165.29,2.88,65,"#00b0e2","#84cfee","#bce3f2"
"J","Jurassic","Middle Jurassic","Callovian","Cal",165.29,163.41,161.53,3.76,66,"#00b0e2","#84cfee","#cae6f2"
"J","Jurassic","Upper Jurassic","Oxfordian","Oxf",161.53,158.155,154.78,6.75,67,"#00b0e2","#bbe4fa","#cce8fd"
"J","Jurassic","Upper Jurassic","Kimmeridgian","Kim",154.78,152.01,149.24,5.54,68,"#00b0e2","#bbe4fa","#d4eefd"
"J","Jurassic","Upper Jurassic","Tithonian","Tit",149.24,146.17,143.1,6.14,69,"#00b0e2","#bbe4fa","#e0f2fc"
"K","Cretaceous","Lower Cretaceous","Berriasian","Ber",143.1,140.4,137.7,5.4,70,"#95c562","#9fca70","#9ec979"
"K","Cretaceous","Lower Cretaceous","Valanginian","Val",137.7,135.15,132.6,5.1,71,"#95c562","#9fca70","#a8d182"
"K","Cretaceous","Lower Cretaceous","Hauterivian","Hau",132.6,129.55,126.5,6.1,72,"#95c562","#9fca70","#b7d690"
"K","Cretaceous","Lower Cretaceous","Barremian","Bar",126.5,123.95,121.4,5.1,73,"#95c562","#9fca70","#c2da9c"
"K","Cretaceous","Lower Cretaceous","Aptian","Apt",121.4,117.3,113.2,8.2,74,"#95c562","#9fca70","#cfe1a7"
"K","Cretaceous","Lower Cretaceous","Albian","Alb",113.2,106.85,100.5,12.7,75,"#95c562","#9fca70","#d9e8b1"
"K","Cretaceous","Upper Cretaceous","Cenomanian","Cen",100.5,97.2,93.9,6.6,76,"#95c562","#b9d25d","#c6d86c"
"K","Cretaceous","Upper Cretaceous","Turonian","Tur",93.9,91.645,89.39,4.51,77,"#95c562","#b9d25d","#d2dd77"
"K","Cretaceous","Upper Cretaceous","Coniacian","Con",89.39,87.545,85.7,3.69,78,"#95c562","#b9d25d","#dce383"
"K","Cretaceous","Upper Cretaceous","Santonian","San",85.7,84.675,83.65,2.05,79,"#95c562","#b9d25d","#e5e88f"
"K","Cretaceous","Upper Cretaceous","Campanian","Cam",83.65,77.91,72.17,11.48,80,"#95c562","#b9d25d","#efec9b"
"K","Cretaceous","Upper Cretaceous","Maastrichtian","Maa",72.17,69.105,66.04,6.13,81,"#95c562","#b9d25d","#f5f1a7"
"Pg","Paleogene","Paleocene","Danian","Dan",66.04,63.85,61.66,4.38,82,"#f8ac70","#f8b77d","#fbc27f"
"Pg","Paleogene","Paleocene","Selandian-Thanetian","Se-Th",61.66,58.83,56,5.66,83,"#f8ac70","#f8b77d","#fccb87"
"Pg","Paleogene","Eocene","Ypresian","Ypr",56,52.035,48.07,7.93,84,"#f8ac70","#fac18a","#f7ba8e"
"Pg","Paleogene","Eocene","Lutetian","Lut",48.07,44.55,41.03,7.04,85,"#f8ac70","#fac18a","#f9c39f"
"Pg","Paleogene","Eocene","Bartonian","Brt",41.03,39.37,37.71,3.32,86,"#f8ac70","#fac18a","#fcceac"
"Pg","Paleogene","Eocene","Priabonian","Prb",37.71,35.805,33.9,3.81,87,"#f8ac70","#fac18a","#fcd7ba"
"Pg","Paleogene","Oligocene","Rupelian","Rup",33.9,30.595,27.29,6.61,88,"#f8ac70","#fdcb98","#fedfb3"
"Pg","Paleogene","Oligocene","Chattian","Cht",27.29,25.165,23.04,4.25,89,"#f8ac70","#fdcb98","#ffeac3"
"Ng","Neogene","Miocene","Lower Miocene","Lmi",23.04,19.515,15.99,7.05,90,"#fede1a","#ffed02","#fff14a"
"Ng","Neogene","Miocene","Middle Miocene","Mmi",15.99,13.81,11.63,4.36,91,"#fede1a","#ffed02","#fef26b"
"Ng","Neogene","Miocene","Upper Miocene","Umi",11.63,8.48,5.33,6.3,92,"#fede1a","#ffed02","#fef488"
"Ng","Neogene","Pliocene","Pliocene","Pli",5.33,3.96,2.59,2.74,93,"#fede1a","#fff7b2","#fff7b2"
"","Quarternary","Pleistocene","Pleistocene","Ple",2.59,1.30085,0.0117,2.5783,94,"#fff69b","#fff2c5","#fff2c5"
"","Quarternary","Holocene","Holocene","Hol",0.0117,0.00585,0,0.0117,95,"#fff69b","#fff5eb","#fff5eb"
